2026-01-11 18:56:09 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 18:56:12 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 18:56:46 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 18:57:21 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:08:49 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:08:51 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:08:54 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:11:09 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:11:11 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:11:14 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:11:17 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:11:21 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:18:11 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:18:14 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:18:16 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:18:22 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:18:28 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:21:03 | user=- | action=login | status=success
2026-01-11 19:21:11 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:21:15 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:21:19 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:21:24 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:21:28 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:25:44 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:25:48 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:25:53 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 19:25:55 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:03:14 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:03:17 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:03:21 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:03:26 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:03:29 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:03:34 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:09:09 | user=SentinelSOC-Win10 | action=login | status=failed
2026-01-11 20:09:30 | user=SentinelSOC-Win10 | action=login | status=failed
2026-01-11 20:09:40 | user=SentinelSOC-Win10 | action=login | status=failed
2026-01-11 20:10:17 | user=SentinelSOC-Win10 | action=login | status=failed
2026-01-11 20:10:22 | user=SentinelSOC-Win10 | action=login | status=failed
2026-01-11 20:17:27 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:17:33 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:17:37 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:17:41 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:17:44 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:17:50 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:29:27 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:29:29 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:29:30 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:29:32 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:31:55 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:31:58 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 20:32:01 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 21:30:18 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 21:30:20 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 21:30:23 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 21:32:04 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 21:32:06 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 21:32:08 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
